Source	Target	Notes
dkyil chog; dkyil 'khor gyi cho ga	maṇḍala rite	
dkyil smad	lower half	
dma' ba	inferior; low{D1}; little; small	
dmag	army	
dmag brgya pa	Dmag-brgya-pa (Skt. Shatānika)	
dmag ldan gzugs can snying po	King Bimbisāra	
dmag mi	soldiers	
dmag pa	son-in-law	
dman	limited; inferior; little; low	
dman pa	lesser; inferior; small; little; low	
dman pa ... 'bring ... mchog	inferior, middling, and superior	
dman pa dang 'brin dang khyad par can	inferior, middling, and special	
dman pa la mos pa	belief/faith/interest/inclination/zeal/keenness in/toward/for the inferior	
dman pa nyid	smallness; inferiority; deficiency	
dman pa'i 'gro ba	inferior transmigration	
dman pa'i nga rgyal	pride of inferiority	
dman pa'i sa pa	person on a Hīnayāna ground	
dman pa'i sems	inferior mind	
dman par mos	belief/faith/interest/inclination/zeal/keenness in/toward/for the inferior	
dmar	red	
dmar khrid	bare instruction; naked instruction; essential instruction	
dmar lam pa	reddish	
dmar mchod byed pa	making bloody sacrifice{TGP 77}	
dmar pa	inferior; low; small; little	
dmar po	red	
dmar ser	[red-yellow]; orange; reddish-yellow	
dmigs	to observe{D2}; apprehend; be aware of; object of observation	
dmigs 'gyur	to observe; apprehend; be aware of	
dmigs bsal	exception	
dmigs can	having observation; having apprehension	
dmigs med	unobservability; boundlessness	
dmigs med la dmigs pa'i byams pa	love observing the unapprehendable	
dmigs med la dmigs pa'i snying rje	compassion observing the unapprehendable	
dmigs pa	noun: object of observation; object of awareness; object; imagination	
dmigs pa brjed par ma gyur	not to forget the object of observation {T}	
dmigs pa bzang	good object of observation {T}	
dmigs pa can	having an object of observation	
dmigs pa chen po nyid	greatness of the object of observation	
dmigs pa dang bcas ma yin	not having an object of observation	
dmigs pa dang bcas pa	having an object of observation	
dmigs pa dang bral ba	free from apprehension	
dmigs pa dang mi dmigs	observation and non-observation {T}	
dmigs pa dang yid la byed pa dang thob pa	observation, mental application, and attainment {T}	
dmigs pa gnyis rnyed pa	obtain two objects of observation {T}	
dmigs pa gzung ba	apprehend an object of observation; apprehended object of observation	
dmigs pa med	unobservability; boundlessness; non-observation; non-apprehension	
dmigs pa med dang ldan pa	together with non-observation; having non-apprehension	
dmigs pa med pa	unobservability; boundlessness; non-observation; non-apprehension	
dmigs pa med pa la gnas pa	abide in unobservability; abiding in no object of observation	
dmigs pa mi dmigs pa	not observation the object of observation {T}	
dmigs pa mi rung ba	unsuitable object of observation {T}	
dmigs pa ni sems yin te	the object of observation is the mind {T}	
dmigs pa rnam pa gsum la 'jug	engage three types of object of observation {T}	
dmigs pa shes pa	cognition of an object of observation	
dmigs pa yi ni mchog	supreme object of observation {T}	
dmigs pa yongs su dag pa	pure object of observation; purify the object of observation	
dmigs pa yongs su tshol ba	thoroughly investigate/examine/research/seek for the object of	
dmigs pa'i chos	phenomenon that is an object of observation	
dmigs pa'i dngos po	real objective thing	
dmigs pa'i rab tu dbye ba	division of the object of observation	
dmigs pa'i rkyen	observed object condition	
dmigs pa'i rten	basis of the object of observation; support which is the object of	
dmigs pa'i sgo nas zag bcas	contaminated by way of being an object of observation [i.e. when taken	
dmigs pa'i tshul gyis	through the mode of the object of observation	
dmigs par 'chad do	divide the object of observation; division of the object of observation	
dmigs par 'gyur	observe; apprehend; observation; apprehension	
dmigs par bya ba'i don med	meaningless to observe {T}	
dmigs par byas pa'i kun brtags pa	imputation made into an object of observation {T}	
dmigs par byed de	makes into an object of observation	
dmigs par mi byed pa	unobservability; boundlessness; does not make into an object of	
dmigs pas 'byung ba	arising of the object of observation; arise due to the object of	
dmigs rkyen	observed object condition; referential condition {GD:130}; observed	
dmigs rkyen btags pa ba	imputed observed-object-conditions	
dmigs rnam skyong ba'i skabs	occasions of sustaining objects of observation and subjective aspects	
dmigs rten	object-of-observation support	
dmigs sgo nas	from the point of view of observation/apprehension	
dmigs su med	not observed; not apprehended	
dmigs su med pa	does not exist as an object of observation; does not exist as	
dmigs yul	object of observation; observed object	
dmod	prayer	
dmus long	blind person	
dmus long long	blind person{LRC}	
dmyal	hell	
dmyal ba	hell | hell; hell-being	
dmyal ba pa	hell being	
dmyal ba'i rten can gyi so so'i skye bo	ordinary beings with the basis of hell-dwellers; common being having	
dngang	be frightened; fear; panic	
dngang ba	tremble; be afraid; panic	
dngang ba 'gyur	tremble; be afraid; panic	
dngos	I | actual [as opposed to imputed, btags pa ba]; actual [as opposed to	
dngos 'bras	direct effect	
dngos 'bras ma dmigs pa	non-observation of a direct effect	
dngos 'gal	directly contradictory; dichotomy; direct contradictories	
dngos bstan	explicit teaching; actual teaching	
dngos dbang gis 'jug pa	engages [its object] by the power of the thing	
dngos gnas	actual; in fact	
dngos gnyen	direct antidote; actual antidote	
dngos gnyen bar chad med lam	uninterrupted paths that are direct antidotes	
dngos grub	feat; accomplishment; yogic accomplishment; actual accomplishment	
dngos grub ji ltar sgrub pa	how to achieve feats	
dngos gzhi	[actual-base]; actual; actual [session of practice]; actual [topic]	
dngos gzhi'i snyoms 'jug	actual absorption; actual meditative absorption	
dngos kyi brjod bya	explicit object expressed	
dngos kyi brjod bya dang rjod byed	explicit object verbalized and means of verbalization	
dngos kyi bsgrub bya'i chos	explicit predicate of the probandum	
dngos kyi lhan cig byed rkyen	direct cooperative condition	
dngos kyi ma nges pa'i gtan tshigs	actual indefinite reason	
dngos kyi nyer len	direct substantial cause	
dngos la bdag gir 'dzin pa	"conception/apprehension """"mine"""" with respect to things"	
dngos la gnas pa	abiding in fact	
dngos la gnod byed	damage to the explicit [teaching]; refutation of the explicit [teaching]	
dngos med	non-thing; that which is not a [functioning] thing; non-existent	
dngos med kyi chos	phenomenon which is a non-thing; non-[functioning] phenomenon	
dngos med ngo bo nyid	nature of non-things; nature of non-entities	
dngos ming	actual name	
dngos po	thing | thing; [functioning] thing; impermanent thing; phenomenon; entity	
dngos po dang gcig	one with thing	
dngos po dang gcig du gyur pa'i dngos po	thing that is one with thing	
dngos po gzhan dang ma 'dres pa	not mixed with other things	
dngos po la gnas pa	abiding in things; abiding in fact; existing in fact	
dngos po la lhar ma song yang	despite not having become a deity in actuality/fact	
dngos po las gzhan pa'i chos gang gi yang mtshan nyid mi byed pa	does not serve as the definition of any other phenomenon other than	
dngos po ma mchis	non-thing; non-entity	
dngos po ma mchis pa	non-thing; non-entity	
dngos po ma yin pa las log pa	opposite from non-thing	
dngos po med	non-thing; non-entity; non-existent; without thing	
dngos po med pa	non-thing; non-entity; non-existent; without thing	
dngos po med pa stong pa nyid	emptiness of non-entities	
dngos po med pa'i ngo bo nyid	nature of non-things; nataure of non-entities	
dngos po med pa'i ngo bo nyid stong pa nyid	emptiness that is the nature of non-entities	
dngos po mtha'	final object; final entity; limits of phenomena	
dngos po rang dbang ba	self-powered thing; independent thing	
dngos po rang gi rdzas rgyun du gtso bor skyed byed	main producer of a thing as a continuation of its own substantial entity	
dngos po snang ba bstan stobs kyis 'jug pa	engages [its object] by the power of the thing's showing itself	
dngos po yin pa las log pa	opposite from thing	
dngos po yod pa smra ba	Proponent of True Existence	
dngos po'i 'bras bu	effect of thing | (1) direct effect of functioning thing; (2) indirect effect of functioning	
dngos po'i brgyud 'bras	indirect effect of thing	
dngos po'i brgyud nas bskyed bya	indirectly produced object of thing	
dngos po'i brgyud rgyu	thing's indirect cause	
dngos po'i bskyed bya	produced object of thing; that which is produced by thing	
dngos po'i bye brag	instance of thing; particular of thing	
dngos po'i dngos 'bras	direct effect of thing	
dngos po'i dngos rgyu	thing's direct cause	
dngos po'i dngos su bskyed bya	directly produced object of thing	
dngos po'i don ldog	meaning-isolate of thing [i.e., that which is able to perform a function	
dngos po'i gnas lugs	mode of subsistence/abiding of things	
dngos po'i gnas tshul	mode of abiding of things; way things abide/exist	
dngos po'i gshis	basic disposition of things	
dngos po'i gzhi ldog	illustration-isolate of thing; illustration simpliciter [e.g., pot]	
dngos po'i ldog pa	thing's isolate; thing simpliciter [i.e., dngos po]	
dngos po'i ldog pa dang yin khyab mnyam	mutually inclusive with thing | Synonym: functioning thing's isolate (dngos po'i ldog pa)	
dngos po'i lhan cig byed rkyen	cooperative condition of thing	
dngos po'i mtha' la dmigs pa	observing the limits of phenomena	
dngos po'i mtshan gzhi	illustration of thing [e.g., pot]	
dngos po'i mtshan nyid	definition of thing; defining character of thing [i.e., that which is able	
dngos po'i nyer len	substantial cause of thing	
dngos po'i phyi logs su byung ba	subsequent arising of thing	
dngos po'i rang bzhin	inherent existence of things	
dngos po'i rang bzhin bral pas	free from the inherent existence of things	
dngos po'i rang bzhin mkhas	wise with respect to the nature of things	
dngos po'i rang ldog	self-isolate of thing [i.e., thing]	
dngos po'i rdzas yod chos gsum tshang ba	the triply qualified substantial existent of thing	
dngos po'i rgyu	cause of thing | (1) indirect cause of functioning thing; (2) direct cause of functioning	
dngos po'i rgyu gyur pa'i gang zag	a person who is a cause of thing	
dngos po'i rnam pa	aspects of things	
dngos po'i skyed byed	producer of thing	
dngos po'i snga logs su byung ba	previous arising of thing	
dngos po'i spyi ldog	generality-isolate [i.e. dngos po]	
dngos po'i stobs kyis zhugs pa'i 'brel ba	relation which operates by the power of the things/facts	
dngos por lhung ba	fallen into [the conception of] true existence	
dngos por smra ba	Proponent of True Existence	
dngos rgyu	direct cause	
dngos shugs la rtogs pa	explicit and implicit realization	
dngos smra ba	Proponent of True/Inherent Existence	
dngos stobs	power of the thing; power of the fact	
dngos stobs rjes dpag	inference through the power of the fact/thing; inferential cognition	
dngos su	explicitly; actually; directly	
dngos su brjod	directly express/verbalize	
dngos su bstan pa	explicitly teach/indicate	
dngos su mdzad pa	explicitly use/do	
dngos su phan tshun mi gnas	directly mutually exclusive	
dngos su rig	explicitly know/cognize	
dngos su rjes su bzung nas	actually being taken care of	
dngos su rjod	directly express/verbalize	
dngos su rtogs pa	explicitly realize; explicit realization	
dngos su sbyar ba	explicitly affixed	
dngos su skyed byed	direct producer	
dngos su spong byed	means of direct abandonment/dispelling; direct abandoner/dispeller	
dngos yin mi dgos pa'i phyir te	because it is not neccessary that they be actual	
dngos yin pa	is actual; actually present	
dngul	silver | silver; money	
dngul khang	bank	
do	particle indicating the end of a statement	
do smad	consort (?) and [her] children	
dod	substitute	
dod thub	possible equivalents	
dogs	to fear | qualm; fear; doubt	
dogs dang bral ba	free from doubts	
dogs gcod	eliminate qualms{BJ 34.7}	
dogs pa	fear; doubt; qualm{BJ 18.3}	
dogs pa skye	generate the qualm that ...{BJ 18.3}	
dom	bear	
don	meaning; goal, purpose; affair, concern; welfare | meaning; object; function; fact; purpose{N}; welfare	
don 'di 'dri ba	ask about the meaning; question about the meaning	
don 'gyur	translation of the meaning	
don 'gyur gyi the tshom	doubt tending toward the fact; doubt tending to the factual	
don 'gyur the tshom	factually concordant doubt	
don 'khor mda'	Don-'khor-mda'	
don bsdu	briefly	
don bsdus	condensed meaning; condensation of the meaning	
don bsdus pa	condensed meaning; condensation of the meaning	
don byed	perform a function	
don byed nus pa	able to perform a function; that which is able to perform a function	
don byed nus pa las gzhan pa'i chos gang gi yang mtshon bya mi byed pa'i chos	a phenomenon that does not serve as the definiendium of any other	
don byed nus pa'i btags yod chos gsum tshang ba	a triply qualified imputed existent that is able to perform a function	
don byed nus pa'i ldog pa dang yin khyab mnyam	mutually inclusive with isolate of able to perform a function	
don byed nus pa'i mtshon bya	definiendium of [what is] able to perform a function	
don byed nus pa'i rdzas yod	substantial existent in the sense of being able to perform a function	
don byed nus stong gi chos	empty of being able to perform a function	
don byed pa	perform a function	
don byed pa'i nus stong pa	empty of capacity to perform functions{N}	
don byed pa'i yon tan	quality of performing functions	
don byed snang can gyi dbang mngon gyi tshad ma	sense direct perceiver having the aspect of performing a function	
don bzang po	good meaning	
don chen legs rtogs	understand well the great meaning	
don chen po	great meaning; greatly meaningful	
don chen po mthong ba yid la byed pa	mental contemplation observing the great meaning	
don ci zhig mthong nas	having seen a certain meaning/object	
don dam	ultimate; ultimate object	
don dam bden pa	ultimate truth	
don dam btags pa ba	imputed ultimate{N}	
don dam byang chub kyi sems	ultimate mind of enlightenment	
don dam byang chub kyi sems bskyed	ultimate mind generation	
don dam dngos	actual ultimate{N}	
don dam dpyod byed	analyzers of the ultimate	
don dam dpyod byed kyi rigs pa	reasoning of ultimate analysis{N}	
don dam du yod pa	ultimate existence	
don dam gyi dbyings	basic element of the ultimate	
don dam mtshan	characteristic(s) of the ultimate{BJ 38.1}	
don dam pa	ultimate; ultimate object	
don dam pa dang ldan pa yin te	having the ultimate truth	
don dam pa ngo bo med pa	ultimate non-entityness; {T} non-entityness in terms of the ultimate	
don dam pa ngo bo nyid med pa	ultimate-non-nature; ultimate-naturelessness	
don dam pa ngo bo nyid med pa nyid	ultimate-non-nature; ultimate-naturelessness	
don dam pa stong pa nyid	ultimate emptiness; name of a sūtra, The Ultimate Emptiness{BJ 50.5}	
don dam pa'i bden pa	ultimate truth	
don dam pa'i bden pa'i yul can	having the object of the ultimate truth	
don dam pa'i chos mngon pa	ultimate Manifest Knowledge	
don dam pa'i dpyod pa	ultimate analysis	
don dam pa'i lha	ultimate deity	
don dam pa'i mtshan nyid	characteristic of the ultimate	
